trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
27,False,"{'a': 0.001, 'e': 1.0}",20,0,-69.4250161344319,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.001, 'e': 1.0}",20,5,-24.229834689235133,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.001, 'e': 1.0}",20,0,-57.16170113302202,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.001, 'e': 0.9999999999999999}",20,0,-95.9192269739304,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.001, 'e': 0.9999999999999997}",20,0,-205.57181587575482,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
32,False,"{'a': 0.001, 'e': 0.9999999999999989}",20,0,-40.70919001021072,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
33,False,"{'a': 0.001, 'e': 0.999999999999997}",20,0,-141.89605699963974,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
34,False,"{'a': 0.001, 'e': 0.9999999999999921}",20,0,-76.29581260325111,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
35,False,"{'a': 0.001, 'e': 0.9999999999999793}",20,2,-73.55093953783896,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 0}",1
36,False,"{'a': 0.001, 'e': 0.9999999999999476}",20,0,-40.309160636405835,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
37,False,"{'a': 0.001, 'e': 0.9999999999998707}",25,0,-64.40956628151181,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
38,False,"{'a': 0.001, 'e': 0.999999999999689}",25,0,-202.08769367126655,"{0: 11, 1: 4, 2: 5, 3: 3, 4: 2}",0
39,False,"{'a': 0.001, 'e': 0.9999999999992719}",20,0,-10.506160782701274,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.001, 'e': 0.9999999999983374}",25,0,-70.76199903026142,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
41,False,"{'a': 0.001, 'e': 0.9999999999962952}",30,0,-119.24264868175752,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
42,False,"{'a': 0.001, 'e': 0.9999999999919373}",25,0,-63.27993189885701,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
43,False,"{'a': 0.001, 'e': 0.9999999999828519}",25,0,-140.3728607005041,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
44,False,"{'a': 0.001, 'e': 0.9999999999643333}",20,0,-95.61628150162443,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.001, 'e': 0.9999999999274043}",25,4,-133.2013941640667,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 2}",1
46,False,"{'a': 0.001, 'e': 0.9999999998553103}",25,0,-156.51853473196448,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
47,False,"{'a': 0.001, 'e': 0.9999999997174395}",35,10,-84.65698616272535,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",1
